Project,Category,Funding Round,Amount,Investors,Funding Date
Talus,Infrastructure,Strategic,--,"Sui
Walrus","Spt 30, 2025"
Flying Tulip,DeFi,Seed,$200.00M,"Selini Capital
Sigil Fund
Tioga Capital
…","Spt 29, 2025"
HeLa Network,Infrastructure,Undisclosed,$2.00M,--,"Spt 27, 2025"
Share,Others,Undisclosed,$30.00M,"Coinbase Ventures
Collab+Currency
Palm Tree Crew(PTC Crypto)","Spt 26, 2025"
Crossmint,CeFi,Strategic,--,Circle Ventures,"Spt 25, 2025"
RedotPay,Others,Strategic,$47.00M,"Coinbase Ventures
Galaxy Ventures
Vertex Ventures","Spt 25, 2025"
RockSolid Network,DeFi,Pre-Seed,$2.80M,"Castle Island Ventures
GSR
Rocket Pool
…","Spt 25, 2025"
Divine,DeFi,Seed,$6.00M,Paradigm,"Spt 25, 2025"
Melee,Others,Pre-Seed,$3.50M,"Variant
DBA","Spt 24, 2025"
BULK,DeFi,Seed,$8.00M,"6th Man Ventures
Robot Ventures
Wintermute
…","Spt 24, 2025"
Bastion,Web3,Undisclosed,$1.46M,"Coinbase Ventures
Andreessen Horowitz(a16z)
Hashed
…","Spt 24, 2025"
Stablecorp,Others,Strategic,$3.60M,--,"Spt 24, 2025"
Elliptic,CeFi,Strategic,--,HSBC,"Spt 24, 2025"
Neura AI,Infrastructure,Undisclosed,--,"MH Ventures
IBC Group
Mario Nawfal
…","Spt 24, 2025"
Belfort,Infrastructure,Seed,$6.00M,"Anagram
Credibly Neutral
Inovia Capital
…","Spt 24, 2025"
Raiku,Infrastructure,Pre-Seed,$11.25M,"Pantera Capital
Hashkey Capital
Jump Crypto
…","Spt 24, 2025"
SegaSwap,DeFi,Seed,--,"Sonic Capital
10k Ventures","Spt 23, 2025"
Cloudburst,Others,Series A,$7.00M,"Borderless Capital
Coinbase Ventures
CoinFund
…","Spt 23, 2025"
Zero Hash,CeFi,Series D,$104.00M,"Morgan Stanley
Apollo Global Management","Spt 23, 2025"
Fnality,CeFi,Series C,$136.00M,"Temasek
WisdomTree
Tradeweb Markets
…","Spt 23, 2025"
Talus,Infrastructure,Strategic,--,"Sui
Walrus","Spt 30, 2025"
Flying Tulip,DeFi,Seed,$200.00M,"Selini Capital
Sigil Fund
Tioga Capital
…","Spt 29, 2025"
HeLa Network,Infrastructure,Undisclosed,$2.00M,--,"Spt 27, 2025"
Share,Others,Undisclosed,$30.00M,"Coinbase Ventures
Collab+Currency
Palm Tree Crew(PTC Crypto)","Spt 26, 2025"
Crossmint,CeFi,Strategic,--,Circle Ventures,"Spt 25, 2025"
RedotPay,Others,Strategic,$47.00M,"Coinbase Ventures
Galaxy Ventures
Vertex Ventures","Spt 25, 2025"
RockSolid Network,DeFi,Pre-Seed,$2.80M,"Castle Island Ventures
GSR
Rocket Pool
…","Spt 25, 2025"
Divine,DeFi,Seed,$6.00M,Paradigm,"Spt 25, 2025"
Melee,Others,Pre-Seed,$3.50M,"Variant
DBA","Spt 24, 2025"
BULK,DeFi,Seed,$8.00M,"6th Man Ventures
Robot Ventures
Wintermute
…","Spt 24, 2025"
Bastion,Web3,Undisclosed,$1.46M,"Coinbase Ventures
Andreessen Horowitz(a16z)
Hashed
…","Spt 24, 2025"
Stablecorp,Others,Strategic,$3.60M,--,"Spt 24, 2025"
Elliptic,CeFi,Strategic,--,HSBC,"Spt 24, 2025"
Neura AI,Infrastructure,Undisclosed,--,"MH Ventures
IBC Group
Mario Nawfal
…","Spt 24, 2025"
Belfort,Infrastructure,Seed,$6.00M,"Anagram
Credibly Neutral
Inovia Capital
…","Spt 24, 2025"
